Manage account;Administrar cuenta;Gerenciar conta
Log in to see this section;Inicia sesion para poder ver esta seccion;Faça login para ver esta seção
Log In;Iniciar Sesión;Iniciar Sessão
Change password;Cambiar la contraseña;Alterar a senha
&#9679 Must be between 4 and 40 characters.<br>&#9679 You must put your first and last name with a space between them.;&#9679 Debe tener entre 4 y 40 caracteres.<br>&#9679 Debes poner tu nombre y apellido con un espacio entre ellos.;&#9679 Deve ter entre 4 e 40 caracteres.<br>&#9679 Você deve colocar seu nome e sobrenome com um espaço entre eles.;
Name & Lastname;Nombre y Apellido;Nome e Sobrenome
&#9679 Please enter a valid 9 digit phone number.;&#9679 Ingrese un número de teléfono válido de 9 dígitos.;&#9679 Insira um número de telefone válido de 9 dígitos.
Phone Number;Número de Teléfono;Número de Telefone
