My tickets;Mis boletos;Meus bilhetes
Select a ticket to view its information.;Selecciona un boleto para ver su información.;Selecione um ticket para visualizar suas informações.
Total price;Precio total;Preço total
CANCEL RESERVATION;CANCELAR RESERVA;CANCELAR RESERVA
DOWNLOAD RECEIPT;DESCARGAR COMPROBANTE;BAIXAR COMPROVANTE
Use the following barcode as proof of your reservation.;Utilice el siguiente código de barras como comprobante de su reserva.;Por favor utilize o código de barras abaixo como prova da sua reserva.
